Segment,Miles,Accidents
1603,0.71,1
1604,0.91,0
1605,2.76,0
1606,4.74,2
1607,6.58,4
1608,2.02,1
1609,0.85,0
1610,1.19,0
1611,0.99,0
1612,0.05,0
1613,1.22,2
1614,2.93,4
1615,1.98,1
1616,3.27,1
1617,2.24,0
1618,1.65,0
1619,0.15,0
1620,0.9,1
1621,0.9,0
1622,0.9,0
1623,3.86,0
1624,1.08,0
1625,0.9,0
1626,0.91,0
1627,0.91,0
1628,0.9,0
1629,0.78,1
1630,0.91,0
1631,0.91,0
1632,0.9,0
1633,0.02,0
1634,0.8,0
1635,1.13,0
1636,0.9,0
1637,0.9,0
1638,0.08,0
1639,0.01,0
1640,6.46,3
1641,0.64,1
1642,1.35,1
1643,0.31,0
1644,0.99,0
1645,0.93,0
1646,2.02,3
1647,3.83,0
1648,0.65,0
1649,0.68,0
1650,4.26,2
1651,0.92,0
1652,0.47,0
1653,1.1,1
1654,0.65,0
1655,2.22,1
1656,0.63,0
1657,1.96,2
1658,1.91,1
1659,2.62,4
1660,0.39,0
1661,0.77,0
1662,0.73,0
